# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
1K6/2P5/8/2k5/8/8/r2p4/8 b - - 0 1|2|1|1|2
1k6/8/8/2N2p2/7P/K7/8/8 b - - 0 1|-2|1|-2|2
k7/8/7B/8/6K1/6N1/2R5/8 w - - 0 1|2|1|5|1
8/K7/3r4/2P5/8/8/1k4p1/8 w - - 0 1|-2|1|-2|2
8/7P/1k6/8/8/4N3/8/2nK4 b - - 0 1|-2|1|-2|2
8/3K4/8/8/5k2/2P5/8/8 w - - 0 1|2|1|1|2
Kn2k3/8/8/8/8/8/8/8 b - - 0 1|0|1|0|1
8/8/6Q1/8/7k/3KN3/3Q4/8 w - - 0 1|2|1|1|1
8/4P1k1/8/8/7R/5K2/8/6n1 w - - 0 1|2|1|3|1
8/2K5/8/k7/8/6p1/8/8 b - - 0 1|2|1|1|2
k7/8/4K3/4Q3/8/8/2r2P2/8 w - - 0 1|2|1|1|2
8/3K4/5p2/8/8/3k4/8/2r5 w - - 0 1|-2|1|-2|2
8/8/3p1nK1/8/8/8/8/6k1 w - - 0 1|0|1|0|1
6k1/8/8/3K4/4Q1p1/8/1N6/8 w - - 0 1|2|2|1|2
8/8/2K4k/8/8/8/8/B7 w - - 0 1|0|1|0|1
7K/8/8/8/3k3n/6B1/8/8 w - - 0 1|0|1|0|1
7R/8/8/8/K7/8/8/6k1 b - - 0 1|-2|1|-26|1
8/5K2/1q3P2/8/8/1P6/5k2/8 b - - 0 1|2|2|1|2
8/7k/8/K7/3r4/2n5/8/8 w - - 0 1|-2|1|-16|1
8/8/1k6/8/6pP/8/1K6/3b4 b - h3 0 1|2|2|1|2
8/4K3/7p/8/8/8/1r3Rk1/8 b - - 0 1|2|2|1|2
3Q4/8/8/8/8/5k2/8/K7 w - - 0 1|2|1|15|1
7R/k7/8/8/8/1r6/8/7K w - - 0 1|0|1|0|1
8/8/8/1k4K1/8/R7/8/2B5 b - - 0 1|-2|1|-18|1
8/6K1/8/8/pP5b/8/3k4/8 b - b3 0 1|2|2|1|2
5k2/K7/8/7R/8/8/8/2N5 b - - 0 1|-2|1|-18|1
8/8/2K5/1b6/8/5P1p/8/4k3 w - - 0 1|-2|1|-2|2
1K6/8/6k1/8/8/N2N4/8/8 b - - 0 1|0|1|0|1
K7/4Q3/1k6/8/8/8/8/8 w - - 0 1|2|1|9|1
8/8/8/6P1/6PK/2k5/8/8 w - - 0 1|2|1|1|2
8/7k/8/8/3R4/7K/1b6/7N w - - 0 1|2|1|19|1
8/8/8/8/4P3/7n/k3K3/b7 b - - 0 1|2|1|11|1
8/3K3k/3P4/8/8/8/8/8 w - - 0 1|2|1|3|1
8/7K/2q5/8/8/6k1/np6/8 w - - 0 1|-2|1|-2|2
8/8/8/1pP5/5k2/8/1P1K4/8 w - b6 0 1|2|2|1|2
7k/8/8/1K6/2pP4/8/8/8 b - d3 0 1|2|2|1|2
1n4K1/8/8/8/8/3p3k/8/8 b - - 0 1|2|1|1|2
8/1k6/8/8/8/8/2r5/4K3 w - - 0 1|-2|1|-20|1
8/8/3R4/8/4k3/2K4N/8/1b6 w - - 0 1|2|1|29|1
2B4K/8/8/8/8/8/1k6/8 b - - 0 1|0|1|0|1
8/1p3n1K/8/k7/P7/8/8/8 b - - 0 1|2|2|1|2
8/8/k7/8/bK6/8/8/4b3 w - - 0 1|0|1|0|1
8/8/4K3/1N6/8/8/3k4/8 b - - 0 1|0|1|0|1
2K5/8/8/5k2/8/6p1/R7/8 w - - 0 1|0|1|0|1
8/1P6/nK6/7k/8/8/8/8 w - - 0 1|2|2|1|2
8/1K2k3/3q4/6pP/8/8/8/8 w - g6 0 1|-2|1|-2|2
8/8/8/3p4/8/8/K5B1/5k2 b - - 0 1|2|2|1|2
8/5K2/k7/6pP/8/8/8/8 w - g6 0 1|2|2|1|2
5b2/8/1k5K/8/8/2b5/1n6/8 w - - 0 1|-2|1|-18|1
8/8/8/3k2pP/8/8/6K1/8 w - g6 0 1|2|1|1|2
4K3/B3n3/8/8/8/8/3B4/k7 b - - 0 1|0|1|0|1
1K5B/8/k7/8/1N6/8/8/8 b - - 0 1|-2|1|-49|1
8/3k1N2/8/8/8/7K/8/8 b - - 0 1|0|1|0|1
8/6Q1/5P2/8/p7/8/4K3/2k5 w - - 0 1|2|1|1|2
4q3/8/7K/3P4/8/3k4/8/8 b - - 0 1|2|1|3|1
8/8/8/P7/8/8/8/4k2K b - - 0 1|-2|1|-2|2
8/8/8/K1k5/8/8/5p2/8 w - - 0 1|-2|1|-2|2
8/8/8/2K5/7k/q7/6r1/4N3 w - - 0 1|-2|1|-4|1
6K1/7n/5N2/8/8/8/5N2/4k3 b - - 0 1|0|1|0|1
8/k3p3/6p1/8/8/8/8/5K2 w - - 0 1|-2|1|-2|2
6k1/8/6P1/8/8/8/5b2/3K4 w - - 0 1|0|1|0|1
7k/8/8/3pP3/8/8/7P/4K3 w - d6 0 1|2|2|1|2
k7/8/1P6/8/8/2r5/6K1/8 b - - 0 1|2|1|3|1
1K6/8/2n5/8/8/8/1k6/5B2 w - - 0 1|0|1|0|1
8/8/8/8/p7/8/8/2K2k1b b - - 0 1|0|1|0|1
1k3q2/2n5/8/8/8/K7/2B5/8 w - - 0 1|-2|1|-12|1
n7/4k3/5p2/8/8/1R6/5K2/8 w - - 0 1|0|1|0|1
8/8/k7/8/B7/7R/8/3K4 b - - 0 1|-2|1|-16|1
7K/8/2P5/3b3k/8/8/8/8 b - - 0 1|0|1|0|1
8/8/8/8/6pk/R7/4K3/8 b - - 0 1|-2|1|-8|1
7k/8/7N/8/8/8/3K4/8 b - - 0 1|0|1|0|1
8/8/8/6k1/3K2pP/8/8/8 b - h3 0 1|2|2|1|2
3R4/8/1k1q4/5K2/1p6/8/8/8 b - - 0 1|2|2|1|2
6r1/B7/8/8/3K4/8/8/2B1k3 w - - 0 1|0|1|0|1
8/8/2b5/1P1k4/1P4K1/8/8/8 w - - 0 1|0|1|0|1
R7/8/8/1k6/q5p1/3K4/8/8 b - - 0 1|2|2|1|2
8/3p4/3K4/8/3p4/8/5k2/3B4 w - - 0 1|0|1|0|1
8/8/3Q4/K7/5B2/6p1/4k3/8 b - - 0 1|-2|1|-2|2
5K2/8/2q5/8/8/8/1n6/1kB5 b - - 0 1|2|2|1|2
8/8/8/3k3N/P7/8/8/3K4 b - - 0 1|0|1|0|1
5Nk1/8/8/3p4/8/Q7/8/1K6 w - - 0 1|2|1|3|1
8/6p1/6n1/8/8/8/4k3/2K5 b - - 0 1|2|1|3|1
5K2/4n3/8/2Pp4/8/7k/8/8 w - d6 0 1|2|2|1|2
B7/6k1/8/8/Kp6/8/8/8 b - - 0 1|0|1|0|1
4K3/7B/8/8/8/8/8/4k3 w - - 0 1|0|1|0|1
8/5k2/8/4P3/8/2K5/8/7Q w - - 0 1|2|1|1|2
8/8/4K3/8/6k1/p7/8/8 b - - 0 1|2|1|1|2
3k4/8/8/6Q1/5K2/8/8/8 b - - 0 1|-2|1|-12|1
2r5/8/8/8/8/4K3/8/7k b - - 0 1|2|1|27|1
8/K3k3/3r4/8/8/8/1R4R1/8 b - - 0 1|-2|1|-14|1
8/8/2pK4/8/8/3B4/6k1/2N5 b - - 0 1|-2|1|-2|2
8/1K6/8/8/6k1/8/2r5/8 b - - 0 1|2|1|21|1
8/N7/8/8/8/K7/2P5/6k1 w - - 0 1|2|1|1|2
8/1P6/8/8/R5k1/8/K7/8 b - - 0 1|-2|1|-2|2
8/8/8/5qK1/2k5/6p1/8/8 w - - 0 1|-2|1|-2|2
K7/4p3/4P3/8/3k4/4n3/8/8 b - - 0 1|2|1|3|1
3r4/8/8/8/K2k4/2r5/4P3/8 b - - 0 1|2|1|3|1
8/2Q2r1k/8/8/8/2K5/8/8 w - - 0 1|2|2|1|2
8/4K2b/8/8/5k2/7P/8/8 w - - 0 1|0|1|0|1
8/3P4/8/1k6/8/8/8/1B3RK1 w - - 0 1|2|1|1|2
4k3/7P/6P1/8/1Q6/4K3/8/8 b - - 0 1|-2|1|-2|2
8/8/8/7P/6k1/3K4/8/6q1 w - - 0 1|-2|1|-2|2
8/8/8/3R4/1K5k/7n/8/6q1 b - - 0 1|2|1|13|1
8/8/4K1N1/2k5/3pB3/8/8/8 w - - 0 1|2|1|7|1
7K/8/3P4/8/8/8/3B4/3k4 b - - 0 1|-2|1|-2|2
8/5k2/8/2K5/4P3/4P3/8/8 b - - 0 1|-2|1|-4|2
8/3P4/8/8/8/2B5/7K/5k2 b - - 0 1|-2|1|-2|2
8/8/8/8/1k1K4/8/3b4/8 w - - 0 1|0|1|0|1
8/8/8/8/3p4/4P3/8/1k1K4 w - - 0 1|2|2|1|2
8/1K6/8/8/3kR3/1nP5/8/8 b - - 0 1|0|1|0|1
n7/2K5/8/k7/3P4/8/8/8 w - - 0 1|0|1|0|1
4b3/8/7K/7p/2k5/8/8/8 w - - 0 1|-2|1|-14|2
6K1/8/8/6P1/6R1/4k3/3N4/8 b - - 0 1|-2|1|-2|2
8/8/7b/8/7N/6k1/3K4/3b4 w - - 0 1|0|1|0|1
4n3/8/5k2/8/7P/5K2/4N3/8 w - - 0 1|0|1|0|1
8/8/n7/8/8/4K3/7k/8 b - - 0 1|0|1|0|1
8/3k2KB/8/8/8/8/8/8 b - - 0 1|0|1|0|1
8/p7/4k3/8/8/1KB5/P7/8 w - - 0 1|0|1|0|1
2K5/8/6pk/4p3/8/5P2/8/8 w - - 0 1|-2|1|-2|2
4k3/8/8/1K6/1np5/8/8/8 w - - 0 1|0|1|0|1
8/8/1k6/6p1/5p2/8/3R2K1/8 w - - 0 1|2|1|3|1
8/8/8/Ppn5/8/1K6/3k4/8 w - b6 0 1|0|0|0|0
2K5/8/8/8/8/5b2/8/2k5 b - - 0 1|0|1|0|1
8/3p3P/8/K7/8/5p2/6k1/8 w - - 0 1|2|1|1|2
8/5p2/8/1K6/8/1k1B4/8/8 b - - 0 1|0|1|0|1
8/8/6K1/8/5R2/Q7/1p6/1k6 b - - 0 1|-2|1|-2|2
5k2/8/8/n7/1K5n/5N2/8/8 b - - 0 1|0|1|0|1
4B1k1/8/7p/8/8/4K3/8/8 b - - 0 1|0|1|0|1
8/3K4/8/8/1N6/2k5/8/8 b - - 0 1|0|1|0|1
8/p7/8/8/4K3/8/7k/3r4 b - - 0 1|2|1|1|2
8/3k4/8/3K4/8/6Q1/8/8 w - - 0 1|2|1|5|1
6k1/4B3/8/4B3/3K4/8/8/8 b - - 0 1|0|1|0|1
8/8/3k4/5B2/Pp6/8/3K4/8 b - a3 0 1|0|1|0|1
8/8/8/2Pp4/7k/8/2K5/8 w - d6 0 1|2|2|1|2
8/2p5/4N3/8/3K4/8/4k3/8 b - - 0 1|0|1|0|1
8/8/8/7r/8/8/8/4K1k1 b - - 0 1|2|1|13|1
8/4k3/2n5/8/8/8/8/5K2 b - - 0 1|0|1|0|1
8/7K/8/2k5/8/8/8/4N3 b - - 0 1|0|1|0|1
4Q3/8/2k5/8/8/5K2/8/8 b - - 0 1|-2|1|-14|1
7K/8/8/3p4/8/3kP3/8/8 w - - 0 1|-2|1|-1|1
8/8/7K/4RB2/8/5k2/8/8 b - - 0 1|-2|1|-14|1
5k2/8/5N2/5P2/K7/8/8/1r6 b - - 0 1|0|1|0|1
8/8/3K4/2R5/5q2/8/8/k7 w - - 0 1|-2|1|-54|1
8/N7/8/5R1k/8/1K6/8/8 b - - 0 1|-2|1|-20|1
8/4k3/8/pP6/8/8/5K2/1n6 w - a6 0 1|2|2|1|2
4R3/8/6k1/8/8/8/3K4/8 w - - 0 1|2|1|21|1
3k4/8/8/3r4/4n3/8/6K1/8 b - - 0 1|2|1|13|1
n7/K7/8/3Pp3/8/6k1/8/8 b - - 0 1|2|1|3|1
8/8/8/8/3k4/p5BK/8/8 w - - 0 1|0|1|0|1
4k1r1/8/8/8/4R3/4K3/8/8 b - - 0 1|0|1|0|1
1K6/8/8/1Pp5/8/3P4/4k3/8 w - c6 0 1|2|2|1|2
8/8/8/5KpP/8/8/8/k7 w - g6 0 1|2|2|1|2
8/6p1/K1p5/7n/8/8/8/7k b - - 0 1|2|1|1|2
8/5k2/8/2p5/7p/Kb6/8/8 b - - 0 1|2|1|1|2
8/4K3/k7/8/8/8/5N2/8 w - - 0 1|0|1|0|1
3k4/7K/7P/8/8/8/7n/8 b - - 0 1|0|1|0|1
2k5/8/2B2pK1/8/5R2/8/8/8 b - - 0 1|-2|1|-2|2
8/8/8/8/8/3bk2K/3N4/4b3 w - - 0 1|-2|1|-12|2
8/8/8/8/Pp6/1k6/6K1/8 b - a3 0 1|2|2|1|2
8/2P5/8/2k5/5P2/3K4/8/8 w - - 0 1|2|1|1|2
8/8/3n2k1/8/7r/8/1K6/3B4 b - - 0 1|2|1|21|1
k7/8/8/8/3Pp3/8/K6R/8 b - d3 0 1|-2|1|-2|2
2k5/7K/8/2Pp4/8/8/8/8 w - d6 0 1|0|1|0|1
8/8/8/8/8/4k3/8/2N3K1 w - - 0 1|0|1|0|1
5b2/2K5/8/8/2p5/3p4/k7/8 b - - 0 1|2|1|1|2
8/8/8/5pP1/3k4/3b4/8/7K w - f6 0 1|0|1|0|1
8/5Q2/8/5k2/4b3/8/5K2/8 b - - 0 1|-2|1|-18|1
8/1K5k/3N4/1n6/8/8/8/8 b - - 0 1|0|1|0|1
8/2n5/8/8/P7/1k6/8/7K w - - 0 1|0|1|0|1
6Q1/8/1P5P/4k3/1K6/8/8/8 w - - 0 1|2|1|1|2
8/4K3/1r3p2/8/2p4k/8/8/8 b - - 0 1|2|1|1|2
8/1N6/8/8/8/2kPR3/4K3/8 b - - 0 1|-2|1|-4|2
4rk2/8/8/8/8/8/6K1/8 w - - 0 1|-2|1|-22|1
8/4K2k/8/8/2Pp4/8/8/8 b - c3 0 1|2|2|1|2
1k6/8/2b1p3/8/8/3R4/4K3/8 w - - 0 1|0|1|0|1
8/4k3/8/3b4/8/8/8/6K1 w - - 0 1|0|1|0|1
8/b7/5K1p/8/k7/3P4/8/8 b - - 0 1|0|1|0|1
8/8/2P5/5k2/8/1K6/8/8 b - - 0 1|0|1|0|1
8/8/8/5K2/8/3b2p1/8/5k2 w - - 0 1|-2|1|-2|2
7N/8/1pK5/8/8/4n3/8/4k3 b - - 0 1|0|1|0|1
8/8/8/p3K3/4R3/8/6k1/8 w - - 0 1|2|1|3|1
4k3/6P1/8/8/R2N4/8/1K6/8 w - - 0 1|2|1|1|2
8/8/8/8/8/8/7k/K3Q2Q b - - 0 1|-2|1|-1|-1
8/K2P4/8/8/3pP3/8/8/2k5 b - e3 0 1|-2|1|-2|2
8/8/8/2K3b1/8/6k1/4N3/8 b - - 0 1|0|1|0|1
8/2K5/5Rk1/6B1/8/8/8/8 b - - 0 1|-2|1|-14|1
1Q6/8/B6K/8/2R5/8/8/5k2 b - - 0 1|-2|1|-4|1
8/8/5k2/8/8/3K4/5p2/8 w - - 0 1|0|1|0|1
8/2p2K2/8/8/8/R5k1/8/8 b - - 0 1|-2|1|-4|1
K7/Q7/8/7N/5b2/8/3k4/8 w - - 0 1|2|2|1|2
1K2q3/8/7k/R7/8/Q7/8/8 w - - 0 1|2|1|25|1
8/8/3K4/8/6pP/8/8/2nk4 b - h3 0 1|2|2|1|2
8/8/4N3/K3Pp1k/8/8/8/8 w - f6 0 1|2|1|3|1
8/PK6/8/8/3k4/8/8/2n5 w - - 0 1|2|1|1|2
8/5N2/8/4k3/8/8/5K2/8 b - - 0 1|0|1|0|1
7n/1k6/5p2/8/8/1K6/8/8 b - - 0 1|2|1|1|2
8/8/8/K2Pp3/3n4/2k5/8/8 w - e6 0 1|0|1|0|1
8/7n/8/8/6P1/6K1/8/2k5 b - - 0 1|0|1|0|1
8/8/5r2/8/k2N4/8/8/1K4B1 b - - 0 1|0|1|0|1
8/8/4q1K1/8/8/4k3/8/8 w - - 0 1|-2|1|-10|1
8/8/kp6/8/2K5/4N3/8/7N b - - 0 1|0|1|0|1
2K5/7B/8/2N2p2/8/2k5/8/8 w - - 0 1|2|2|1|2
8/k7/3p4/2r5/4K3/8/4R3/8 b - - 0 1|0|1|0|1
2b5/8/4K3/k4P2/8/8/6p1/8 w - - 0 1|-2|1|-2|2
3k4/6n1/8/5p2/8/8/4K3/8 w - - 0 1|-2|1|-4|1
8/5p2/8/2P5/8/1k2K3/1P6/8 b - - 0 1|-2|1|-2|2
8/1k6/p7/4K3/5R2/8/8/8 b - - 0 1|-2|1|-10|1
8/8/8/8/1k6/N7/2K5/8 w - - 0 1|0|1|0|1
8/8/2k3r1/2P5/8/8/6K1/8 w - - 0 1|-2|1|-2|2
5k2/7P/8/8/8/6K1/8/8 b - - 0 1|0|1|0|1
5b2/P7/8/8/8/6k1/8/K7 b - - 0 1|-2|1|-4|2
8/4k3/8/4P3/3pP3/8/8/2K5 b - e3 0 1|0|1|0|1
8/b7/6k1/8/8/8/8/2K5 w - - 0 1|0|1|0|1
6K1/8/8/8/4k3/7b/R6q/8 b - - 0 1|2|2|1|2
8/8/8/3R4/1K6/2P4k/8/8 b - - 0 1|-2|1|-2|2
2r5/8/8/8/5P1K/8/6kB/8 b - - 0 1|2|2|1|2
b7/3P4/1k6/4n1K1/8/8/8/8 b - - 0 1|2|2|1|2
8/3Q4/8/8/4k1r1/8/3K4/1b6 w - - 0 1|2|2|1|2
8/1k6/8/8/8/1K6/2n5/8 w - - 0 1|0|1|0|1
8/1k6/8/2K1n3/8/5r2/8/8 w - - 0 1|-2|1|-12|1
b5k1/8/2b5/8/7K/1N6/8/8 b - - 0 1|0|1|0|1
2N5/2N5/2k5/8/8/8/4K3/5r2 b - - 0 1|0|1|0|1
8/K3P3/8/8/6p1/2p5/7k/8 b - - 0 1|0|1|0|1
3K4/8/k2R4/8/8/8/3B4/6r1 b - - 0 1|0|1|0|1
8/8/1p6/q6k/5p2/8/7K/8 w - - 0 1|-2|1|-2|2
6K1/k7/q7/8/8/8/1N6/8 b - - 0 1|2|1|3|1
8/8/1R2P3/8/r7/8/8/2K2k2 b - - 0 1|0|1|0|1
8/1K6/1p6/8/p7/7P/k7/8 b - - 0 1|2|1|1|2
8/8/k7/5PpK/8/8/8/8 w - g6 0 1|2|2|1|2
8/4b3/8/8/1k6/7K/8/1NB5 b - - 0 1|0|1|0|1
8/8/2K5/6r1/8/5p2/8/3k4 b - - 0 1|2|1|1|2
6k1/8/K7/8/5N2/8/1n6/8 b - - 0 1|0|1|0|1
8/4R3/8/6K1/Pp6/8/6k1/8 b - a3 0 1|-2|1|-2|2
8/4k3/8/Q7/1K4pP/8/8/8 b - h3 0 1|-2|1|-2|2
8/8/5K2/8/1Pp4k/8/8/8 b - b3 0 1|2|2|1|2
8/8/6K1/1r6/8/8/1k6/q7 w - - 0 1|-2|1|-4|1
7k/p4R2/7n/8/8/8/8/7K b - - 0 1|2|2|1|2
8/8/3p4/B7/8/5k2/2K5/7B b - - 0 1|-2|1|-10|1
7K/8/b7/8/8/8/8/6k1 w - - 0 1|0|1|0|1
2k5/8/8/8/3pP3/8/8/7K b - e3 0 1|2|1|1|2
8/3K4/6p1/6k1/8/8/2P5/8 w - - 0 1|2|1|1|2
8/8/4r3/K7/4q3/k7/8/8 w - - 0 1|-2|1|-2|1
3k4/8/8/8/8/5P1K/b7/8 w - - 0 1|0|1|0|1
8/2K5/8/8/8/3k2p1/1p3P2/8 w - - 0 1|-2|1|-2|2
7K/8/8/2k5/8/4r2b/2n5/8 w - - 0 1|-2|1|-8|1
8/3k4/8/1K4P1/p5p1/8/8/8 w - - 0 1|-2|1|-2|2
8/8/2k5/8/8/5r2/7K/8 b - - 0 1|2|1|15|1
8/8/k7/6N1/8/8/p4K2/8 w - - 0 1|-2|1|-2|2
8/3p3K/8/8/p7/8/3k1p2/8 w - - 0 1|-2|1|-2|2
8/5k2/1p6/6p1/8/8/8/6K1 w - - 0 1|-2|1|-2|2
8/8/4k1p1/b7/1P6/4K3/8/8 w - - 0 1|0|1|0|1
8/6K1/5p2/8/8/8/b7/3k4 b - - 0 1|2|1|1|2
8/6K1/8/3k4/6B1/8/8/8 w - - 0 1|0|1|0|1
n1K5/5k2/8/8/8/8/7R/8 b - - 0 1|0|1|0|1
6N1/4q3/8/8/k7/2K5/8/8 b - - 0 1|2|1|3|1
8/B7/3P4/8/8/4K1kp/8/8 w - - 0 1|2|1|1|2
8/8/2P5/3b4/5b2/7K/8/1k6 b - - 0 1|2|2|1|2
8/8/8/8/8/8/1b4K1/3k4 w - - 0 1|0|1|0|1
8/8/8/2b5/7K/4N3/k7/8 b - - 0 1|0|1|0|1
4k3/P7/8/2K5/8/8/8/R7 b - - 0 1|-2|1|-2|2
8/2Q2p2/1k6/2N5/8/7K/8/8 b - - 0 1|0|1|0|1
8/K7/8/1Pp5/8/5k2/8/8 w - c6 0 1|2|2|1|2
8/k7/8/8/3p4/8/8/6K1 w - - 0 1|0|1|0|1
8/8/5k2/8/3K4/bP4b1/8/8 w - - 0 1|0|1|0|1
6r1/2n5/8/8/4k3/8/5K2/8 b - - 0 1|2|1|9|1
8/1R6/3k4/3Pp3/8/8/1K6/8 w - e6 0 1|2|2|1|2
8/5k2/3p4/8/8/K7/8/n4N2 b - - 0 1|0|1|0|1
8/4k3/7N/5p2/8/8/3B4/6K1 b - - 0 1|-2|1|-8|2
