# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 1|109|111
rnbqkb1r/pp1ppppp/8/3nP3/3p4/2P5/PP3PPP/RNBQKBNR w KQkq - 0 1|20|38
rnbqk2r/ppp1bppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 1|88|91
rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq c6 0 1|111|114
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 0 1|75|72
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 1|78|80
rnb1kb1r/ppp1pppp/5n2/q7/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 1|120|124
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1|146|146
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 1|118|119
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 1|129|126
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 1|103|112
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 1|150|155
rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 1|137|140
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w KQ - 0 1|96|104
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 1|86|89
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq c6 0 1|84|83
r1bqkb1r/pp1ppp1p/2n2np1/2p5/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq - 0 1|61|63
r1bqkb1r/ppp2ppp/2n2n2/3pp3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq d6 0 1|26|27
rnbqk2r/ppp1bppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 1|79|80
rnbqkb1r/ppp3pp/4pn2/3p1p2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq d6 0 1|165|166
rnbqkb1r/pp3ppp/2p2n2/3pp3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq d6 0 1|19|17
rnbqk2r/ppp1bpp1/4p2p/3p3n/2PP1B2/2NQ1N2/PP2PPPP/R3KB1R w KQkq - 2 3|155|150
r1bqk1r1/pp2bpp1/n1p1p2p/3p3n/2PP4/2N2N2/PPQBPPPP/3RKB1R w Kq - 2 6|463|465
r1bqk1r1/pp3pp1/n1p1pn1p/3N2N1/2PP3b/2B5/PPQ1PPPP/3RKB1R b Kq - 4 8|-210|-197
r1b1k1r1/p3qppQ/n1p1pn1p/1p4b1/1NPP4/2B5/PP2PPPP/R3KB1R w Kq - 0 12|-539|-533
r1b1k1r1/p2q1pp1/n1p1p1Qp/1p4Pn/1NPP4/2B5/PP2P1PP/R3KB1R w Kq - 3 15|742|736
r1b1k1r1/p1nq1pp1/2N1p1Qp/2P3Pn/2pP4/2B1P3/P5PP/R3KB1R b Kq - 0 18|-717|-714
r1b1k1r1/p1n2pp1/2N1p2p/B1P5/2pP1q2/4P1n1/P5PP/RQ2KB1R w Kq - 4 22|580|590
1rb1k1r1/p1n2pp1/Q1N1p2p/B1P5/2pP4/4q1n1/P5PP/R3KB1R w K - 0 24|-141|-140
rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 2|81|82
rnbqkbnr/2ppp1pp/8/1p3p2/pP1P2P1/N7/P1P1PP1P/R1BQKBNR w KQkq - 0 6|170|177
rnbqkbnr/3pp1p1/4N2p/1pp5/pP1P2p1/N7/P1PQPP1P/R1B1KB1R b KQkq - 1 9|-407|-420
rnb1kb1r/2q1p1p1/3p3p/1pp3Qn/pP1P2p1/N7/P1P1PP1P/R1BK1B1R w kq - 0 13|-584|-554
rnb1kb1r/4p1p1/1q6/1pp3pn/pP4p1/N3P3/P1P2P1P/1RBK1B1R w kq - 0 16|-2770|-2679
r1b1kb2/1q1np1pr/8/1pp2Ppn/pPP3p1/NR2P3/P6P/2BK1B1R b q - 0 19|3343|3266
rnb1kb2/4p1pr/8/1pp2Ppn/pPP1P1p1/N1R3q1/P3K2P/2B2B1R w q - 3 23|-1927|-1813
rnb1kb2/6pr/4pP2/1pp1P1pn/pPP3p1/N1RK4/P3q2P/2B2B1R w q - 1 26|-1479|-1364
r1b1kb2/4n2r/4pPp1/1Pp1P1pn/pP3Bp1/N1RK4/P3B2P/4R3 b q - 2 29|969|957
r1bqkbr1/pppp2pp/2n5/1B2pp2/4n3/3P1N2/PPP1QPPP/RNB2RK1 w q - 1 3|550|564
r1bqkb1r/pppp2p1/B1n4p/4p1N1/4Qp2/3P2P1/PPP2P1P/RNB2RK1 b q - 2 6|-23|9
r1b1kbr1/ppp3p1/B1n2q1p/3pp1N1/1P2Q3/3P2p1/P1PB1PKP/RN3R2 w q - 3 10|-544|-576
r1B1k1r1/2p3p1/2n2q1p/pp1pp1NP/1b6/3PQ1p1/P1PB1PK1/RN3R2 b q - 1 13|-361|-324
2B1kbr1/2p3p1/2n2q1p/pp1p2NP/4p3/3PQ3/P1PB1pK1/RNR5 w - - 0 17|1148|1087
2B1kbr1/2p3p1/2n5/pp1p2BP/4p3/3P3Q/PqP3K1/RN4n1 w - - 0 20|45|60
2Bnk1r1/2p3p1/8/pp1p1QBP/4p3/b1PP1n2/Pq6/RN3K2 w - - 3 23|-440|-431
3nkbr1/1Bp3p1/8/pp1p2BP/4pQ2/2PP1n2/P5K1/R6q w - - 2 26|-825|-802
3nk1r1/1Bp3p1/3b4/1p1p2BP/p3p2Q/2PP1n2/P7/6RK b - - 3 28|-685|-636
3nk1r1/1Bp3p1/5B2/7P/ppQp4/2PPpnb1/P7/6RK w - - 0 32|1510|1484
3nk2r/1Bp5/8/6pP/pQ1B4/2PPpn2/P7/4bR1K b - - 0 35|-643|-575
5Q2/2pk1n2/8/3B2pP/p2B4/2PPpn2/P7/4bR1K b - - 2 38|-1680|-1589
r1bqkbnr/1p1p1ppp/p1N5/4p3/4P3/2N5/PPP1KPPP/R1BQ1B1R w kq - 1 3|1727|1731
r1b1k1nr/1pq2ppp/p1N5/3pp3/1P2P1P1/b1N5/P1P1KP1P/1RBQ1BR1 b kq - 0 6|-252|-226
r2qk1nr/1p3ppp/p7/3pp3/1P2P1b1/bNNK4/P1P2P1P/1RBQ1BR1 b kq - 5 9|201|227
r3k1nr/qp5p/p5pB/3Npp2/1P2P1b1/bN1K1P2/P1P4P/1R1Q1BR1 w kq - 2 13|1268|1266
r5nr/4k2p/p5p1/1p2pp2/1P2P1b1/bNPKBP2/P6P/1R1Q1BR1 b - - 0 16|-1627|-1556
6nr/4k2p/p5p1/1p2pp1b/1P1rP3/b1P1BP1P/P1KN4/1R1Q1BR1 w - - 1 20|3223|3185
7r/7p/p4kpn/1p2pP1b/1PNP4/b3BP1P/P1K5/1R1Q1BR1 b - - 0 22|-2668|-2560
r7/7p/p4k1n/1p2NP1b/1P1P1Bp1/5P1P/P1K1B3/1RbQ2R1 w - - 0 26|3294|3188
r7/5N1p/p5bn/1p3k2/1PQP1Bp1/4bP1P/P1K1B3/1R3R2 b - - 1 29|-2042|-1919
r3b3/5n1p/p7/1p4N1/1P1P1k2/3QbPpP/P1K1B3/1R2R3 w - - 4 33|2569|2503
r3b3/5n1p/p7/1p4k1/1P1P4/4bPpP/P1K1B3/1R3R2 w - - 0 35|-1372|-1392
r7/5n1p/p1b5/6k1/1P1P4/3BbP1P/PK6/1R3b2 w - - 2 38|-1372|-1315
7r/3b3p/p2n2B1/6k1/1P1P4/4bP1P/PK6/1R3b2 w - - 8 41|-1680|-1629
4r3/7p/3n4/pb1P2k1/4BP2/4b2P/PK6/1R3b2 b - - 0 44|2314|2265
4r3/7p/3n4/3P3k/p4P2/3Bb2P/PK6/3R1b2 w - - 0 47|-941|-901
qbn1brkr/ppp1p1p1/2n4p/5p2/P2p4/4Q1PP/1PPPPP2/1BNNBRKR b KQkq - 1 10|602|620
qbnn1r1k/ppp1pbpr/4Q2p/5p2/PP1p4/6PP/2PPPPK1/1BNNBR1R w - - 5 14|-488|-506
qb1n1r1k/p3pbpr/1np4p/1p1N1p2/PP1p4/5PPP/Q1PPP1K1/1BN1BR1R b - - 1 17|681|697
1b1n1rk1/p4bpr/1n2p2p/1Ppq1p2/QP1p4/5PPP/2PPP2K/1BN1BR1R w - - 0 21|-1280|-1273
1b1n1rk1/p4bpr/4p2p/1Ppq1p2/QPnp4/1NBP1PPP/B1P1P2K/5R1R b - - 6 24|897|885
qbn2rkr/ppp1p1p1/2n4p/3p1p1b/P1Q5/2N3PP/1PPPPP2/1BN1BRKR b KQkq - 3 10|219|226
qbn2rkr/ppp3p1/2Q4p/P2ppp1b/8/6PP/1PPPPP2/1BNNBRKR b KQkq - 0 13|-156|-123
qbn2rkr/ppp3p1/Q6p/P2pp2b/3P1p2/1P4PP/2P1PP2/1BNNBRKR b KQkq - 0 16|-379|-348
qbn1brkr/p1p3p1/p6p/P2pp3/3PP2P/1P3pP1/2PB1P2/1BNN1RKR b KQkq - 0 19|1864|1831
qb5r/p1p3pk/p2n3B/P2Ppr2/b2P3P/1P3pP1/2P2P1K/1BNN1R1R w - - 1 23|-889|-846
qb5r/p1p3Bk/p7/P2Ppr2/b2Pn2P/1PP2pP1/B4P1K/2NN1R1R w - - 1 26|-593|-558
r3k2r/Pppp1p1p/1b3nbp/nPB5/B1P1P1P1/q4N2/Pp1P3P/R2Q1RK1 b kq - 0 2|1325|1327
r3k2r/Pppp1p1p/1b5p/nP3b2/BnP1P1P1/q3BN2/P2P3P/b2Q1RK1 w kq - 4 6|-899|-818
r4rk1/Pppp1pbp/1b5p/nP1n1b2/B1P1P1P1/q3B3/P2P2KP/1Q4NR b - - 11 9|3426|3385
4rrk1/Pppp1p1p/1b5p/nP1n1P2/B1P1P3/4BN2/qb1P2KP/1Q4R1 w - - 3 13|-167|-98
4rrk1/Pp1pnp1p/1bp4p/nP3P2/B1P1P3/2b1BN1P/q2P2K1/4Q1R1 b - - 3 16|1143|1099
4rrk1/Pp1pnp1p/1bp5/1P2bPp1/B1P1P2P/1n3N2/q2P2K1/4Q1R1 w - - 0 19|-989|-899
R3rrk1/1p1p1p1p/1bp3n1/1P2bPpP/B1P1P3/1n3N2/q2P4/2Q2KR1 b - - 0 22|2001|1968
R2brrk1/1p1p1p1p/2p3P1/1PP3pP/4Pb2/5N2/q1BP4/n1Q2KR1 b - - 0 25|1188|1194
3b1rk1/1p1prp1p/3b2P1/1pP3pP/4P2N/R7/q2P4/nBQ2KR1 b - - 1 28|349|319
1b3rk1/1p1prpPp/3b4/1RP3pP/1p2P2N/1q6/3P4/nBQ2KR1 w - - 4 32|-43|-6
1b3rk1/1p1prpPp/7P/1RP5/1p2Pb1p/1q6/B2P4/n1Q2KR1 b - - 1 35|500|443
1b3rk1/1p1p1pPp/3b3P/1RP5/1pQ1r2p/6R1/B2P2K1/nq6 b - - 3 38|1250|1204
r1bqk1r1/pppp1ppp/1bn2n2/4p3/1PB1P3/2PP1N2/P4PPP/RNBQK2R w KQq - 1 3|293|306
r1bqB2r/ppppk1pp/2n2n2/b3p1B1/1P2P3/2PP1N2/P4PPP/RN1QK2R w KQ - 3 6|706|718
r1b1k2r/ppppq1pp/2n5/b2np1B1/1P2P3/2PP1N2/P4PPP/RNQ2KR1 b - - 5 9|114|79
r1bqk2r/ppp3pp/3p3B/b3p3/1n1nP2N/2PP4/P4PPP/RN2QKR1 w - - 2 13|-1227|-1211
r2q3r/ppp1k1Bp/3p4/b3p3/1n1nP2N/1bPPQ3/P4PPP/RN3KR1 b - - 6 16|-48|-76
r3kq1r/ppp3Bp/3p4/b1n1p3/3PP1PN/1b1PQ3/P4P1P/RN3KR1 w - - 1 20|838|852
r3kqbr/1pp3Bp/p2p4/b3p3/n2PPPPN/3PQR2/P3K2P/RN6 b - - 5 23|-475|-478
3rk1br/1p2q1Bp/p1pp4/bQ2p3/3PPPPN/3P1R2/Pn2K2P/RN6 w - - 0 27|622|633
3rk1br/1p4qp/p1p5/3pp1B1/2QPPPPN/P1bP1R2/1n2K2P/RN6 b - - 3 30|72|76
3Bk1b1/1p4qr/p7/2pQ3p/3PPpP1/P1bP1R2/1n2K1NP/RN6 w - - 2 34|709|673
6Q1/1p1k3r/p7/2p3Bp/3qPpP1/P1bP4/1n2K1NP/RN3R2 w - - 0 37|1329|1276
3B4/1p1kr3/p7/2pQ4/3qPpPp/P1bPN3/1n2K2P/RN3R2 b - - 3 39|-476|-405
rnbqkbnr/pp1ppppp/8/8/2p5/N6P/PPPPPPP1/R1BQKBNR w KQkq - 0 3|120|123
rnb1kbnr/pp1ppp1p/6q1/6p1/2p5/N2PPP1P/PPP3P1/R1BQKBNR w KQkq - 1 6|229|237
rnb1kb1r/pp1ppp1p/5n2/1N6/2p1P1pP/1P2PP2/P1P3P1/R1BQKBNR b KQkq - 0 9|-3303|-3263
rnbk1b1r/pp1ppp1p/3N1n2/8/4P1pP/1Pp1PP2/P1P1Q1P1/R1B1KBNR b KQ - 3 11|-2957|-2908
rnbk1br1/pp1p1p1p/Q2N4/4p2P/4n1p1/1Pp1PP2/P1P3P1/R1B1KBNR b KQ - 1 14|-61|44
rnbk2r1/pp1p3p/Q2N1p2/4p2P/PP1bn1p1/2p2P2/2P1B1P1/R1B1K1NR w KQ - 2 18|1057|981
r1b1k1r1/pp1p3p/Q1n2p1B/2n1p2P/PP1b2p1/2p2P1N/2P1B1P1/1R2K2R b K - 1 21|-287|-241
r1b5/pp1k2rp/Q1np1p2/2n1p1BP/PP1b2p1/2p2P1N/2P1B1P1/1R1K3R b - - 5 24|8|67
r1bk4/pp3Qrp/3p1p2/n1P1p1BP/P2b2p1/2p2P1N/2P1B1P1/1R1K3R w - - 5 28|1596|1537
2bk4/r5rp/3p1p2/n1p1p1BP/P2b2p1/2p2P1N/2P3P1/1R1K1B1R w - - 0 31|-1113|-1119
2bk4/r5rp/3p1p2/2p1p2P/P2b2p1/2p1nP1N/2P1K1P1/2R2B1R b - - 1 33|2657|2655
2bk4/5rrp/3p4/2pnpp1P/P2b2p1/2p2PPN/2P1K2R/2R2B2 w - - 0 36|-2377|-2362
2bk2r1/5r2/3p3p/3npp1P/P1pb2P1/2p3PN/2P3BR/3KR3 b - - 1 39|2152|2148
2b1k3/8/3p1rPp/3Bpp2/P1pb2P1/2p3PN/2P4R/3KR3 b - - 0 42|-1383|-1375
2b2k2/b4B1N/3pr1Pp/4pp2/P1p3P1/2p3P1/2P4R/3KR3 b - - 6 45|-1289|-1284
r1b1kbnr/pp3ppp/2npp3/1N2P3/7q/8/PPP2PPP/RNBQKB1R w KQkq - 1 3|391|405
r1b1Nbnr/pp1k1ppp/4p3/4P3/1n4q1/3Q4/PPP2PPP/RNB1KB1R b KQ - 2 6|-106|-102
r1b1Nbnr/pp2kppp/B3p3/4P3/1n4q1/2Q5/PPP2PPP/RNB1K2R b KQ - 8 9|-135|-129
1rb1Nbnr/pp1k1ppp/2n1p3/4P3/B7/2Q3q1/PPP2PPP/RNB1K1R1 w Q - 15 13|798|812
1rb2bnr/pp1k1ppp/2n1pN2/4P3/B1Q5/1P5q/P1P2P1P/RNB1K1R1 b Q - 3 15|-795|-810
bbqrknnr/pppppppp/8/8/1P5P/8/P1PPPPP1/BBQRKNNR w KQkq - 1 3|329|336
bbqrknnr/pp1p2pp/2p2p2/1P2p3/7P/3P1N2/P1P1PPP1/BBQRKNR1 b Qkq - 0 6|45|51
bbqr1nnr/1p1pk1p1/1p3p1p/3pp3/7P/3P1N2/P1P1PPP1/BBQRK1R1 w Q - 0 10|-783|-763
bb1r1nnr/1p1p2p1/1p1k1p1p/3pp3/2q3PP/2BP1N2/P1P1PP2/1BQRK1R1 b Q - 2 13|159|139
bbr2nnr/1p1p4/1p1k1ppp/3pp1Q1/q5PP/3P1NR1/PBP1PP2/1B1RK3 b Q - 3 16|1314|1313
b1r2nnr/1pbp4/1p1k1pp1/2qpp1Np/6PP/3PQ1R1/PBPRPP2/1B2K3 w - - 2 20|-407|-388
b1r2nnr/1p1p4/1b1k1pp1/3pB1Np/5PPP/q2P2R1/P1PRP3/1B2K3 b - - 0 22|2084|2009
b1r2n1r/1p1p4/2k2ppn/3pB1Np/5PPP/q2P2R1/P1P1Pb2/1B1R1K2 w - - 5 25|-1673|-1591
b1r2n1r/1p1p4/2k1Npp1/3p3p/1q1B1PRP/3P4/P1PRPb2/1B3K2 b - - 0 28|2251|2209
br3n1r/1p6/2kpNpR1/1q1p3p/3B1P1b/3P4/P1PRP2K/1B6 w - - 0 32|-1029|-958
br1b1n1r/1p6/2kp2R1/2Np1p1p/P2B1P2/3P4/2PRP2K/1B6 b - - 0 35|-34|-24
br3n2/2b5/2kp2r1/1pNpBpRp/P4P2/3P4/2P1P2K/1B1R4 w - - 4 39|167|166
rnb1qrk1/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQ - 4 3|61|64
rnb1qrk1/ppp1p1bp/3p2pn/5p2/1P1PP1PN/2N5/P1P2P1P/1RBQKB1R b K - 1 6|216|222
rnb3k1/1pp3bp/p2pprpn/1q1N1P2/1P1P2PN/8/P1PQ1P1P/1RB1KB1R w K - 1 10|1058|1071
q1bnrkr1/ppp1p2p/2np1p2/3P2p1/2N5/8/PPPNPPPb/Q1B1RRKB w kq - 0 11|73|71
1qbnrkr1/p1p1p2p/2np1p2/1p1P2p1/2N5/1N6/PPP1PPPK/Q1B1RR1B w kq - 0 13|581|563
1q1nr1kr/p1p1p2p/2np1p2/1p1P2p1/2N5/1N3KPb/PPP1PP2/1QB1RR1B b - - 2 16|334|371
1q1nr1kr/p1p1p2p/3p1p2/1p1Pnbp1/2N1K3/1N4P1/PPP1PP2/1QB1RR1B w - - 5 18|-617|-654
2qnr1kr/p1p1p2p/3pbp2/Np1Pn1p1/8/4K1P1/PPPNPP2/1QB1RR1B b - - 10 20|-495|-480
3nrk1r/pqp1p3/3pbpn1/1p1P2pp/8/4K1P1/PPPNPP2/1QB1RR1B w - - 0 24|-409|-406
1q1nrk1r/p1p1p3/3pP1n1/1p3pp1/7p/P4KP1/1PPNPP2/1QB1RR1B w - - 0 27|59|32
1q1nrk1r/2p1p3/p2NP1n1/5pp1/1p6/P3K1p1/1PP1PP2/1QB1RR1B w - - 0 30|370|348
1q1nrk2/2p1p3/p3P3/1N1R1p2/1p3npr/P5p1/1PPKPP2/1QB2R1B b - - 3 33|86|111
3nr3/2p1p1k1/p3P3/1q2Rp2/1pP2np1/P5p1/1PQKPP2/2B2r2 w - - 2 37|-1377|-1309
3n2r1/2p1p1k1/4P3/pq1R1p2/PpP1P1p1/6p1/1PQK1Pn1/2B2r2 w - - 0 40|-1445|-1380
3n4/4p1k1/2p1P3/5R2/PpP1P1p1/6Pr/1PQK2n1/2B2r2 b - - 0 43|-62|-26
3n4/4p1kr/2p1P3/8/PpP1P1p1/6P1/1PQ1K1n1/2B1R3 b - - 4 46|-1184|-1110
3n2kr/4p3/2p1P3/8/PpP1P1p1/3Q2P1/1P1B2n1/3KR3 b - - 10 49|-1082|-1000
8/4p3/2p1Pk2/2Q5/PpP1P1p1/6P1/1P1B2nr/3KR3 w - - 5 53|2795|2729
7r/4p3/2p1P1k1/P7/2PQP1p1/1p4P1/1P1B2n1/3KR3 b - - 1 56|-1761|-1668
8/4p3/2p1P1k1/P7/2P1P1p1/1p4P1/1P1B4/3KR2r w - - 2 60|2032|2028
8/4p2k/P1p1P3/5R2/2P1P1pr/1p4P1/1P1B4/2K5 b - - 6 63|-1710|-1687
8/4p2k/P1p1P3/2P5/4r1p1/1p4P1/1P1B4/2K2R2 w - - 0 67|2080|2075
8/4p1k1/P1p1P3/B1P5/6p1/1pr2RP1/1P6/3K4 w - - 6 70|1886|1880
6k1/4p3/P1p1P3/2P5/8/1p4P1/1P1B1p2/3K4 w - - 0 73|838|811
r1bqkb1r/pppppppp/n6n/8/2P5/5P2/PP1PP1PP/RNBQKBNR w KQkq - 1 3|152|157
1rbqkb1r/pppppppp/n4n2/8/2P5/P1N1PP2/1P1PQ1PP/R1B1KBNR b KQk - 4 6|-86|-87
1rbqkb1r/ppp1pp2/n2p1n1p/6p1/2P5/PP2PP2/3PQ1PP/1RBNKBNR b Kk - 0 9|-53|-53
r2qkb1r/ppp1pp2/n2pbn1p/6p1/2PPP3/PP3P2/4Q1PP/1RBNKBNR b Kk - 0 11|-279|-286
r3kb1r/pppqBp1n/n2pb2p/8/2PPP3/PP3PP1/4Q2P/1R1NKBNR w Kk - 1 15|892|895
rn2k2r/pppqBpb1/3pbn1p/8/2PPP3/PP3PPQ/7P/2RNKBNR w Kk - 7 18|210|203
rn3k1r/ppp1qpb1/3pbn1Q/8/2PPPP2/PP4P1/1NR4P/4KBNR b K - 0 21|1408|1426
rn1q4/ppp1kpbr/3p1nQ1/3P4/2P1PP2/PP1B2Pb/1NR4P/4K1NR w K - 5 25|-93|-88
rn1q4/ppp1kpQr/3p1n2/3P4/P1P1PP2/1P1B1NP1/1NR3bP/4K1R1 b - - 0 28|-377|-351
rn1q4/ppp1kpQr/3p4/3P1n2/PPP1PP2/3B1N2/1N3K1P/2R3Rb w - - 2 32|1299|1297
rn5q/ppp1kNQ1/3p4/3P4/PPP1PP1r/3Bn3/1N3K1P/2R1R2b w - - 1 35|916|901
rn2q3/pp2kNQr/2Pp4/1P2P3/P1P2P2/2RBn3/1N3K1P/4R2b b - - 0 38|-1487|-1473
qn1rbbkr/ppp2p1p/1n1pp1p1/8/P2P4/Q6P/1PP1PPPK/1NNRBB1R w kq - 3 11|73|77
qn1rbbr1/1pp2pkp/1n1pp1p1/p7/PB1P4/5Q1P/1PP1PPPK/1NNR1B1R w - - 0 14|-222|-226
qn1rbbr1/1pp2pk1/4p1p1/p2p3p/nB1PP3/2Q2P1P/1PP3PK/1NNR1B1R b - - 1 17|421|422
q2rb1r1/1ppn2k1/1n2p1p1/p1bpPp1p/1B1P4/2Q2PKP/1PPN2P1/2NR1B1R w - - 1 21|112|121
q2rb1r1/1ppn2k1/4p1p1/p1bpPp1p/1BBP3P/1PQ2PK1/2PN2P1/2NR2R1 b - - 2 24|-131|-105
q4rrk/bppn1b2/4p1p1/p2pPpQp/1BBP1K1P/1P3P2/2PN2P1/2NR2R1 w - - 9 28|848|845
5rrk/bppn1b2/B2qp1p1/B2pPQ1p/3P1K1P/1P3P2/2PN2P1/2NR2R1 w - - 1 31|-277|-320
3r2rk/bp1n1b2/B1p1p1p1/2qpPQ1p/1B1P1K1P/1P3PP1/2PN4/2NR2R1 b - - 5 34|-437|-404
